"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8"
"Rec";"REClow";"REClow";"REClowmed";"REClowmed";"RECmed";"RECmed";"RECmix";"RECmix"
"Rule";"HCR1";"HCR2";"HCR1";"HCR2";"HCR1";"HCR2";"HCR1";"HCR2"
"round(Median_B1plus[period == \"initial\"]/1000, 0)";"201";"189";"201";"189";"232";"219";"201";"189"
"round(Median_B1plus[period == \"short\"]/1000, 0)";"246";"219";"247";"219";"345";"310";"246";"219"
"round(Median_B1plus[period == \"last\"]/1000, 0)";"276";"253";"438";"288";"502";"501";"357";"272"
"round(Median_Catch[period == \"initial\"]/1000, 0)";" 3";"15";" 3";"15";" 6";"17";" 3";"15"
"round(Median_Catch[period == \"short\"]/1000, 0)";" 3";"19";" 4";"19";"32";"26";" 4";"19"
"round(Median_Catch[period == \"last\"]/1000, 0)";"30";"24";"46";"29";"53";"53";"37";"27"
"round(IAV1_Catch[period == \"initial\"]/1000, 0)";"0";"1";"0";"1";"4";"4";"0";"1"
"round(IAV1_Catch[period == \"short\"]/1000, 0)";"1";"1";"2";"1";"5";"4";"2";"1"
"round(IAV1_Catch[period == \"last\"]/1000, 0)";"0";"0";"1";"0";"0";"0";"1";"0"
"round(closure[period == \"initial\"] * 100, 2)";"38.74";" 1.04";"38.74";" 1.04";"28.86";" 1.20";"38.74";" 1.04"
