"Rec";"RECmed";"RECmed";"REClow";"REClow";"REClowmed";"REClowmed";"RECmix";"RECmix"
"Rule";"HCR5";"HCR6";"HCR5";"HCR6";"HCR5";"HCR6";"HCR5";"HCR6"
"round(Median_B1plus[period == \"initial\"]/1000, 0)";"233";"223";"201";"193";"201";"193";"201";"193"
"round(Median_B1plus[period == \"short\"]/1000, 0)";"352";"322";"247";"226";"248";"226";"248";"226"
"round(Median_B1plus[period == \"last\"]/1000, 0)";"524";"523";"280";"263";"462";"328";"416";"295"
"round(Median_F[period == \"initial\"]/1000, 0)";"0";"0";"0";"0";"0";"0";"0";"0"
"round(Median_F[period == \"short\"]/1000, 0)";"0";"0";"0";"0";"0";"0";"0";"0"
"round(Median_F[period == \"last\"]/1000, 0)";"0";"0";"0";"0";"0";"0";"0";"0"
"round(Median_Catch[period == \"initial\"]/1000, 0)";" 6";"14";" 3";"13";" 3";"13";" 3";"13"
"round(Median_Catch[period == \"short\"]/1000, 0)";"27";"23";" 4";"16";" 4";"16";" 4";"16"
"round(Median_Catch[period == \"last\"]/1000, 0)";"47";"47";"25";"22";"41";"28";"36";"25"
"round(IAV1_Catch[period == \"initial\"]/1000, 0)";"8";"5";"5";"2";"5";"2";"5";"2"
"round(IAV1_Catch[period == \"short\"]/1000, 0)";"8";"5";"7";"3";"7";"3";"7";"3"
"round(IAV1_Catch[period == \"last\"]/1000, 0)";" 7";" 7";"10";" 3";" 8";" 5";" 8";" 4"
"round(closure[period == \"initial\"] * 100, 0)";"29";" 1";"39";" 1";"39";" 1";"39";" 1"
"round(closure[period == \"short\"] * 100, 0)";"21";" 1";"42";" 1";"42";" 1";"42";" 1"
"round(closure[period == \"last\"] * 100, 0)";" 0";" 0";"34";" 0";"12";" 0";"18";" 0"
"round(P_B1plus_0.8Blim[period == \"initial\"] * 100, 0)";"72";"65";"36";"23";"36";"23";"36";"23"
"round(P_B1plus_0.8Blow[period == \"initial\"] * 100, 0)";"96";"94";"94";"91";"94";"91";"94";"91"
"round(firstyear_B1plus_0.8Blim[period == \"all\"], 0)";"2026";"2027";NA;NA;"2045";NA;NA;NA
"round(firstyear_B1plus_0.8Blow[period == \"all\"], 0)";"2022";"2022";"2023";"2023";"2023";"2023";"2023";"2023"
"round(firstyear_B1plus_Blim[period == \"all\"], 0)";"2031";"2036";NA;NA;NA;NA;NA;NA
"round(firstyear_B1plus_Blow[period == \"all\"], 0)";"2025";"2026";"2026";"2033";"2026";"2032";"2026";"2032"
"round(max_P_B1plus_Blim[period == \"last\"] * 100, 0)";" 4";" 4";"90";"94";"37";"60";"47";"66"
"round(max_P_B1plus_Blow[period == \"last\"] * 100, 0)";"0";"0";"1";"4";"0";"4";"0";"4"
