"Rec";"RECmed";"REClow";"REClowmed";"RECmix"
"Rule";"HCR7";"HCR7";"HCR7";"HCR7"
"round(Median_B1plus[period == \"initial\"]/1000, 0)";"244";"211";"211";"211"
"round(Median_B1plus[period == \"short\"]/1000, 0)";"393";"264";"264";"264"
"round(Median_B1plus[period == \"last\"]/1000, 0)";"668";"329";"643";"640"
"round(Median_F[period == \"initial\"]/1000, 0)";"0";"0";"0";"0"
"round(Median_F[period == \"short\"]/1000, 0)";"0";"0";"0";"0"
"round(Median_F[period == \"last\"]/1000, 0)";"0";"0";"0";"0"
"round(Median_Catch[period == \"initial\"]/1000, 0)";"0";"0";"0";"0"
"round(Median_Catch[period == \"short\"]/1000, 0)";"0";"0";"0";"0"
"round(Median_Catch[period == \"last\"]/1000, 0)";"0";"0";"0";"0"
"round(IAV1_Catch[period == \"initial\"]/1000, 0)";"0";"0";"0";"0"
"round(IAV1_Catch[period == \"short\"]/1000, 0)";"0";"0";"0";"0"
"round(IAV1_Catch[period == \"last\"]/1000, 0)";"0";"0";"0";"0"
"round(closure[period == \"initial\"] * 100, 0)";"100";"100";"100";"100"
"round(closure[period == \"short\"] * 100, 0)";"100";"100";"100";"100"
"round(closure[period == \"last\"] * 100, 0)";"100";"100";"100";"100"
"round(P_B1plus_0.8Blim[period == \"initial\"] * 100, 0)";"78";"46";"46";"46"
"round(P_B1plus_0.8Blow[period == \"initial\"] * 100, 0)";"98";"98";"98";"98"
"round(firstyear_B1plus_0.8Blim[period == \"all\"], 0)";"2025";"2035";"2031";"2031"
"round(firstyear_B1plus_0.8Blow[period == \"all\"], 0)";"2021";"2021";"2021";"2021"
"round(firstyear_B1plus_Blim[period == \"all\"], 0)";"2028";NA;"2043";"2044"
"round(firstyear_B1plus_Blow[period == \"all\"], 0)";"2024";"2025";"2025";"2025"
"round(max_P_B1plus_Blim[period == \"last\"] * 100, 0)";" 0";"59";" 8";"10"
"round(max_P_B1plus_Blow[period == \"last\"] * 100, 0)";"0";"0";"0";"0"
