"assessment";"rule";"rec";"initNage";"obsErr";"year";"assessment.1";"rule.1";"rec.1";"initNage.1";"obsErr.1";"biomass_q95";"biomass_q50";"biomass_q05";"catch_q95";"catch_q50";"catch_q05";"catch.iyv_q95";"catch.iyv_q50";"catch.iyv_q05";"discards_q95";"discards_q50";"discards_q05";"disc.iyv_q95";"disc.iyv_q50";"disc.iyv_q05";"f_q95";"f_q50";"f_q05";"landings_q95";"landings_q50";"landings_q05";"land.iyv_q95";"land.iyv_q50";"land.iyv_q05";"rec_q95";"rec_q50";"rec_q05";"ssb_q95";"ssb_q50";"ssb_q05";"effort_q95";"effort_q50";"effort_q05";"tac_q95";"tac_q50";"tac_q05"
"ss3";"1";"med";"var";"naq";2018;"ss3";"1";"med";"var";"naq";189300.841359026;151678.647889265;124664.310955664;14600;14600;14600;0.666332593670686;0.666332593670686;0.666332593670686;0;0;0;NA;NA;NA;0.122035143237561;0.0974099396975979;0.0744548234505135;14600;14600;14600;0.666332593670686;0.666332593670686;0.666332593670686;13287236.1480035;5040489.80602185;2102505.90136857;188928.125130906;151369.17180762;124403.917215394;0.464323761232904;0.37483636440013;0.289551020199907;14600;14600;14600
"ss3";"1";"med";"var";"naq";2019;"ss3";"1";"med";"var";"naq";275294.54961309;166671.03845592;120277.398910268;10674.4966695956;8713.79435697355;5721.98264797422;0.731129908876413;0.596835229929695;0.391916619724262;0;0;0;NA;NA;NA;0.0839592817681418;0.0533220900930354;0.0270557363607151;10674.4966695956;8713.79435697355;5721.98264797422;0.731129908876413;0.596835229929695;0.391916619724262;14430955.9074766;5487017.34453477;2093752.28281967;254871.741078354;158265.040223137;115968.102353694;0.325095943122543;0.209430272183065;0.107588886089624;10674.4966695956;8713.79435697354;5721.98264797422
"ss3";"1";"med";"var";"naq";2020;"ss3";"1";"med";"var";"naq";359949.262288625;192896.424374253;123471.669233083;31008.0592511551;6772.44313962742;213.176584413454;4.13678981122039;0.794671943244872;0.0297695122994438;0;0;0;NA;NA;NA;0.10644527811575;0.0381001650692065;0.000748538302644492;31008.0592511551;6772.44313962742;213.176584413454;4.13678981122039;0.794671943244872;0.0297695122994438;18046679.5644972;6336748.69825922;2268797.04865415;338743.749970574;183235.154980087;117757.501986477;0.407901598606671;0.150686665790936;0.00301231239661056;31008.0592511551;6772.44313962742;213.176584413454
"ss3";"1";"med";"var";"naq";2021;"ss3";"1";"med";"var";"naq";453416.68055534;230665.578914393;129080.424474492;40133.5924040499;1391.16583606552;1e-06;19.5514689132849;0.200445384199632;1.30957866206713e-10;0;0;0;NA;NA;NA;0.130133329993177;0.00723226392048328;0;40133.5924040499;1391.16583606552;1e-06;19.5514689132849;0.200445384199632;1.30957866206713e-10;20768320.535357;7401387.96239479;2640348.56114377;423429.830485832;220629.564964322;123464.988112209;0.493335610621155;0.0290083115153532;1.30072684406359e-11;40133.5924040499;1391.16583606552;1e-06
"ss3";"1";"med";"var";"naq";2022;"ss3";"1";"med";"var";"naq";537238.003724833;273169.276981909;142149.168606722;48233.2166871257;1e-06;1e-06;36729414380.2297;1;1.96963638641265e-10;0;0;0;NA;NA;NA;0.133630899245447;0;0;48233.2166871257;1e-06;1e-06;36729414380.2297;1;1.96963638641265e-10;21638256.6534571;8348196.22335037;3050021.04649855;498478.192406508;260581.726451423;136019.889825504;0.505755940563827;2.46248610776304e-11;1.21669615071367e-11;48233.2166871257;1e-06;1e-06
"ss3";"1";"med";"var";"naq";2023;"ss3";"1";"med";"var";"naq";592276.078814437;320623.315513772;158579.86110149;55324.1349570127;31386.2710260915;1e-06;40166844763.0632;1;1.13822307464989e-09;0;0;0;NA;NA;NA;0.142584355367986;0.0693744745406308;0;55324.1349570127;31386.2710260915;1e-06;40166844763.0632;1;1.13822307464989e-09;23336561.848432;9194992.55948854;3259118.92285915;560279.332540645;303864.876016127;152769.532911916;0.537424021645011;0.270426572966351;1.21034450756974e-11;55324.1349570127;31386.2710260916;1e-06
"ss3";"1";"med";"var";"naq";2024;"ss3";"1";"med";"var";"naq";646879.549614807;361958.620120235;180009.184553639;63610.7605931685;35877.9739632735;1e-06;39949692792.2702;1.02618049014499;0.82899114870291;0;0;0;NA;NA;NA;0.14644449711932;0.0975915923478395;0;63610.7605931685;35877.9739632735;1e-06;39949692792.2702;1.02618049014499;0.82899114870291;24409263.2381448;9989695.2839992;3723028.01395556;608805.962097257;343724.267651717;171829.495232832;0.551006980008269;0.375504136039472;1.33589066358472e-11;63610.7605931685;35877.9739632735;1e-06
"ss3";"1";"med";"var";"naq";2025;"ss3";"1";"med";"var";"naq";676103.491922546;400957.011935451;202206.421357317;67691.1219437162;39407.1195086819;1e-06;35898386516.0076;1.00597626640278;0.774701697392615;0;0;0;NA;NA;NA;0.147617091946667;0.103654418350857;0;67691.1219437162;39407.1195086819;1e-06;35898386516.0076;1.00597626640278;0.774701697392615;25646596.1789146;10491661.8106808;3927100.49001764;639235.748592928;378467.40362963;193404.611887722;0.555123673661286;0.397716200769673;1.40183171570321e-11;67691.1219437162;39407.1195086819;1e-06
"ss3";"1";"med";"var";"naq";2026;"ss3";"1";"med";"var";"naq";683688.395716189;427849.956267144;213400.899264288;71707.6097818909;42803.1064251038;1e-06;35517857971.9779;1.01638370014762;0.739661726798002;0;0;0;NA;NA;NA;0.151115635194855;0.108202790004981;0;71707.6097818909;42803.1064251038;1e-06;35517857971.9779;1.01638370014762;0.739661726798002;25180655.3808605;10491693.8849996;4517120.2164853;654630.712499517;406560.081947136;206465.517097696;0.567381179177974;0.414302294714873;1.50879316451198e-11;71707.6097818909;42803.1064251038;1e-06
"ss3";"1";"med";"var";"naq";2027;"ss3";"1";"med";"var";"naq";708598.845992841;449956.682808869;242048.462918497;73292.5990997992;46371.9556291307;1e-06;33805417414.2793;1.02540802760746;0.749055357509913;0;0;0;NA;NA;NA;0.150382585181249;0.112618946182709;0;73292.5990997992;46371.9556291307;1e-06;33805417414.2793;1.02540802760746;0.749055357509913;27511952.6114706;11385403.7354866;4359347.407016;674808.637323046;427042.648841396;231525.392012693;0.564815932618175;0.430340000656291;1.7637489538251e-11;73292.5990997992;46371.9556291307;1e-06
"ss3";"1";"med";"var";"naq";2028;"ss3";"1";"med";"var";"naq";750503.928579642;460177.922865336;257134.785647391;73542.3343065953;48025.4062524314;2181.47149747292;5.68799718633433;1.00323380521797;0.77893339891791;0;0;0;NA;NA;NA;0.15421127586012;0.112458269205185;0.00717114773329632;73542.3343065953;48025.4062524314;2181.47149747292;5.68799718633433;1.00323380521797;0.77893339891791;26089965.5101161;10939948.4493776;4456647.09669492;710945.91810348;439581.816166406;248060.003572902;0.578196579057804;0.429757619430396;0.0287639649847171;73542.3343065953;48025.4062524314;2181.47149747292
"ss3";"1";"med";"var";"naq";2029;"ss3";"1";"med";"var";"naq";742363.9590091;474891.982457365;264487.061286543;78224.499979524;49881.1958896136;31686.6069672476;1.72229501917017;1.00703392159195;0.783277707106149;0;0;0;NA;NA;NA;0.158809468316589;0.115315216799333;0.0716320550549343;78224.499979524;49881.1958896136;31686.6069672476;1.72229501917017;1.00703392159195;0.783277707106149;26102692.0409077;10857232.4763126;4473045.33668161;710360.433518766;453143.685629346;252212.119035454;0.594158158255041;0.440100132046636;0.278936095616568;78224.499979524;49881.1958896136;31686.6069672476
"ss3";"1";"med";"var";"naq";2030;"ss3";"1";"med";"var";"naq";742213.097854049;476109.432703148;287838.882609201;76186.2770393129;51777.0254602177;32509.3225764304;1.56691302740987;1.00718779504095;0.741682703933158;0;0;0;NA;NA;NA;0.155225172828714;0.117896882084505;0.071788692575884;76186.2770393129;51777.0254602177;32509.3225764304;1.56691302740987;1.00718779504095;0.741682703933158;26120749.4205254;11227524.7652866;4781350.34728511;696467.164235625;456615.265104885;273376.700092901;0.581679633104393;0.449423301332153;0.279525824130098;76186.2770393129;51777.0254602177;32509.3225764304
"ss3";"1";"med";"var";"naq";2031;"ss3";"1";"med";"var";"naq";748326.092261456;489256.006999114;292803.186729531;76986.6578621587;51875.6001584609;32842.5571302194;1.52367352066285;0.985510567341366;0.766519591107246;0;0;0;NA;NA;NA;0.159762639006343;0.117539019222548;0.080087213026062;76986.6578621587;51875.6001584609;32842.5571302194;1.52367352066285;0.985510567341366;0.766519591107246;27283758.3499959;11240955.8748732;4389354.21594138;711217.757705937;464864.13720268;282299.023752367;0.597470769870328;0.448132227820504;0.310650640698215;76986.6578621587;51875.6001584609;32842.5571302194
"ss3";"1";"med";"var";"naq";2032;"ss3";"1";"med";"var";"naq";756971.398764999;490423.922556493;291006.946194364;79224.8204554416;51772.6807942699;34238.5586557086;1.48980172001125;0.98955406425455;0.767073212156587;0;0;0;NA;NA;NA;0.160405546951345;0.117918587389729;0.0818803935156066;79224.8204554416;51772.6807942699;34238.5586557086;1.48980172001125;0.98955406425455;0.767073212156587;27008773.0793333;11130552.0558474;4947048.51787567;712511.268145822;466143.663401694;278781.810967419;0.599703780969627;0.44950159489275;0.317346212410333;79224.8204554416;51772.6807942699;34238.5586557086
"ss3";"1";"med";"var";"naq";2033;"ss3";"1";"med";"var";"naq";733708.902811175;492963.281989628;293779.707376732;80745.3560948211;53158.3034396754;34270.4649217308;1.47945763845004;0.985726823346157;0.73990111618022;0;0;0;NA;NA;NA;0.159612452894716;0.118968081735163;0.0820116416719557;80745.3560948211;53158.3034396754;34270.4649217308;1.47945763845004;0.985726823346157;0.73990111618022;26788501.0051143;11488059.1629797;4594254.92370184;697916.444577001;470562.266647129;280001.882302822;0.596948974971484;0.453285458690043;0.317835878717445;80745.3560948211;53158.3034396754;34270.4649217308
"ss3";"1";"med";"var";"naq";2034;"ss3";"1";"med";"var";"naq";760377.95211689;495970.210995219;303563.77333605;80252.1213909464;52951.7686399324;34506.5459165738;1.44868010842858;0.97831269304913;0.76919960058726;0;0;0;NA;NA;NA;0.161370708272221;0.118386887795022;0.0834784580964032;80252.1213909464;52951.7686399324;34506.5459165738;1.44868010842858;0.97831269304913;0.76919960058726;27846445.9483696;11376210.651019;4492747.47129639;715975.772224814;471807.154673087;292315.64033744;0.603051560855441;0.451190449123549;0.323304692494228;80252.1213909464;52951.7686399324;34506.5459165738
"ss3";"1";"med";"var";"naq";2035;"ss3";"1";"med";"var";"naq";769476.952522706;492805.913563355;303797.210158374;81213.0987635144;53376.9492933856;35130.7649920974;1.44043284734371;0.986643952684906;0.766282466253135;0;0;0;NA;NA;NA;0.161460436487035;0.118305548368202;0.0860521178446552;81213.0987635144;53376.9492933856;35130.7649920974;1.44043284734371;0.986643952684906;0.766282466253135;26101668.3460697;11420485.3768232;4618287.14410188;725641.576195028;469662.554310449;290710.855890524;0.603362363539093;0.450897160757458;0.332884565140558;81213.0987635144;53376.9492933856;35130.7649920974
